pros,cons,overall_rating
"Great salary and competitive benefits package. The 401k match is one of the best I've seen.","Work-life balance is non-existent. Expect to work 60+ hours a week regularly.",4
"The people here are amazing and the office vibe is very friendly.","Management is completely disconnected from the reality of our daily tasks.",3
"Flexible remote work options are a lifesaver. I can pick up my kids from school easily.","Promotions are based on favoritism rather than actual performance.",3
"Huge emphasis on learning and development. They paid for my entire certification.","The base pay is slightly below market average for this city.",4
"Free snacks and a great gym in the office.","Open office layout makes it very hard to concentrate on deep work.",3
"Leadership has a clear vision for the future and communicates it well.","We are constantly reorganizing which creates a lot of confusion.",4
"My direct manager is incredibly supportive and always has my back.","Upper management moves too slowly on approving budget for new tools.",4
"The stock options could be worth a lot in the future.","Very high turnover rate. I have a new manager every six months.",3
"Great team culture, everyone helps each other out.","The legacy software we use is slow and frustrating.",3
"Generous PTO policy and they actually let you take it.","Salary adjustments for inflation have been non-existent this year.",4
"I learned a lot in my first year here. Good for fresh graduates.","No clear path for career progression after the senior associate level.",3
"The diversity and inclusion initiatives are actually taken seriously here.","Some middle managers are toxic and micromanage everything.",3
"We work on cutting-edge technology which is great for my resume.","Deadlines are often unrealistic and cause unnecessary stress.",3
"The quarterly bonuses are a nice touch when we hit targets.","Health insurance premiums went up significantly this year.",3
"Casual dress code and a very relaxed atmosphere.","Office politics can get nasty if you aren't in the 'in' crowd.",2
"Strong brand name that looks good on a CV.","Bureaucracy is suffocating. It takes weeks to get simple approvals.",2
"The cafeteria food is healthy and subsidized.","Parking is a nightmare if you don't arrive by 8 AM.",4
"Very transparent communication from the CEO during town halls.","Execution of the strategy at the team level is messy.",3
"My team feels like a second family.","Compensation is not transparent. People in the same role make vastly different amounts.",3
"Good work-life balance, rarely have to work weekends.","Raises are capped at 3% regardless of performance.",3
"Opportunities to travel for international conferences.","Reimbursement process for travel expenses is painfully slow.",4
"The maternity and paternity leave policies are industry-leading.","Returning to work after leave was difficult due to lack of support.",4
"Fast-paced environment where you are never bored.","Burnout is real here. Most people leave after 2 years.",2
"Smart colleagues who challenge you to be better.","The review process is subjective and unfair.",3
"We have the best tools and hardware in the industry.","The open floor plan is noisy and distracting.",4
"Unlimited vacation policy (in theory).","In practice, if you take time off, you are looked down upon.",2
"Company matches charitable donations which is cool.","Politics at the director level slows everything down.",3
"Great onboarding process for new hires.","Lack of documentation makes it hard to figure things out later.",3
"I love the innovation days where we can work on pet projects.","Regular project work is often dull and repetitive.",3
"Salary is deposited on time, every time.","No bonuses this year despite record profits.",2
"The CEO really cares about the employees.","Middle management acts like a clay layer stopping information flow.",3
"Fun team outings and happy hours.","Forced socialization can be draining for introverts.",3
"Flexible hours allow me to avoid rush hour traffic.","You are expected to answer emails at 9 PM.",2
"Good training programs for leadership skills.","It is very hard to switch departments internally.",3
"The office location is central and easy to get to.","The building itself is old and the AC barely works in summer.",3
"Clear OKRs and goal setting at the start of the year.","Goals are moved constantly so you never actually hit 100%.",2
"They offer tuition reimbursement for grad school.","You have to stay for 2 years after or pay it back.",4
"Collaborative environment where ideas are welcomed.","Credit for ideas is often stolen by managers.",2
"The yearly retreat is always a highlight.","Daily grind is boring and uninspired.",3
"Decent pay for an entry-level job.","No room for negotiation on salary.",3
"Excellent health benefits and dental plan.","The copays are getting higher every year.",4
"Supportive HR team that listens to concerns.","HR seems powerless to actually change bad management behavior.",3
"We are market leaders so job security feels high.","Innovation is stifled by a fear of failure.",3
"Great mentorship program if you can find a mentor.","Mentors are too busy to actually meet with you.",3
"The coffee in the breakroom is surprisingly good.","Restrooms are not cleaned often enough.",3
"Quarterly town halls keep us informed.","Bad news is often sugar-coated or hidden.",2
"I have a lot of autonomy in how I do my work.","Lack of direction makes it hard to know if I'm doing the right thing.",3
"Competitive base salary.","Sales commissions are capped which kills motivation.",3
"The engineering culture is top-notch.","Sales and Engineering are always at war with each other.",3
"Good equity package for early employees.","Vesting schedule is too long (4 years).",3
"They provide a budget for setting up a home office.","It took 3 months to get the reimbursement.",4
"Lots of smart people to learn from.","Arrogance is common among the senior staff.",3
"The product we build actually helps people.","Technical debt is piling up and slowing us down.",4
"Summer Fridays (half days) are a great perk.","We just end up working longer Mon-Thu to make up for it.",3
"Management is approachable and open door.","They listen but rarely act on feedback.",3
"Good severance packages if layoffs happen.","Layoffs happen way too often here.",2
"The gym subsidy keeps me healthy.","Not enough time in the day to actually go to the gym.",3
"Strong focus on mental health awareness.","Workload is the main cause of mental health issues and it hasn't changed.",2
"Diversity in leadership is improving.","Still feels like an 'old boys club' at the very top.",3
"We use Slack and Jira efficiently.","Too many meetings that could have been emails.",2
"Nice holiday party.","No holiday bonus, just a party.",3
"Inclusive culture for LGBTQ+ employees.","Microaggressions still happen and aren't addressed.",3
"Ability to purchase extra vacation days.","Base vacation allowance is too low to begin with.",3
"Fair performance reviews.","The bell curve grading system forces managers to give bad ratings.",2
"Stable company with a long history.","Resistance to change is high.",3
"Good exposure to senior leadership.","Senior leaders are often rude or dismissive.",2
"They allow dogs in the office!","The office sometimes smells like wet dog.",4
"Generous referral bonuses.","Referrals rarely get hired because the bar is artificially high.",3
"Clean and modern office space.","Not enough meeting rooms for the number of teams.",3
"Project timelines are generally reasonable.","Scope creep is a constant issue.",3
"Great place to start your career.","Not a great place to stay if you want to become a manager.",3
"The customer support team is fantastic.","Product team ignores feedback from support.",2
"Good selection of teas in the kitchen.","The fridge is always full of old rotting food.",3
"Company pays for internet if you work remote.","Stipend is taxable income so it's worth less.",3
"Transparent salary bands.","The bands are wide so you never know where you stand.",3
"No dress code at all.","Some people dress a bit too casually.",4
"Frequent hackathons foster innovation.","Hackathon projects never get put into production.",3
"Good disability insurance included.","HR is slow to process disability claims.",3
"Team lunches every Friday.","Always pizza, never anything healthy.",3
"They provide a laptop and monitor.","The equipment is usually 3 years old and slow.",2
"Challenging problems to solve.","Solutions are often dictated by politics not logic.",3
"Global company with opportunities to move abroad.","Relocation packages are very basic.",4
"Focus on sustainability and green initiatives.","We still print way too much paper unnecessarily.",3
"Good balance of men and women in the team.","Engineering is still 90% male.",3
"They match contributions to student loan payments.","The cap on matching is very low.",4
"Very safe work environment.","Badge access system fails constantly.",3
"Respectful interaction between departments.","Silos are forming as we grow larger.",3
"Annual salary reviews are punctual.","The percentage increase rarely beats inflation.",2
"Flexible start and end times.","9 AM meetings are mandatory for everyone.",3
"Good retention of senior staff.","Junior staff are churned and burned.",3
"Positive atmosphere during the holidays.","End of year crunch time ruins the holiday spirit.",2
"Access to LinkedIn Learning accounts.","No dedicated time during work hours to actually learn.",3
"Wellness room for meditation.","People use the wellness room for phone calls.",2
"Good commuter benefits (pre-tax).","Public transport options near the office are limited.",3
"High ethical standards in business deals.","Internally, we cut corners to save money.",3
"Support for working parents is visible.","Childcare costs are not subsidized.",3
"Regular code reviews improve quality.","Reviews can be nitpicky and slow down delivery.",3
"Good visibility into company financials.","Numbers are often presented in a confusing way.",3
"Fun slack channels for hobbies.","People spend too much time on non-work slack channels.",3
"Ergonomic chairs for everyone.","Standing desks are only for managers.",3
"Structured career ladder for engineers.","Designers have no clear career path.",2
"They listen to employee surveys.","Survey fatigue is setting in because nothing changes.",2
"Great reputation in the market.","We rest on our laurels and aren't innovating.",2
"Team building budgets are generous.","Hard to coordinate times when everyone is free.",4
"Good IT support team.","IT policies are overly restrictive.",3
"Weekly fresh fruit delivery.","Fruit runs out by Tuesday morning.",3
"Opportunities to present to the board.","Presentations are often micro-managed by the VP.",3
"Flat hierarchy feels approachable.","Lack of hierarchy means no one knows who decides what.",3
"Fast reimbursement for expenses.","Expense reporting software is ancient.",3
"Good alumni network after you leave.","You are considered a traitor if you leave for a competitor.",2
"Sabbatical program after 5 years.","It is unpaid, not paid.",2
"Strong focus on customer satisfaction.","We sacrifice employee well-being for the customer.",2
"Diverse lunch options nearby.","Lunch breaks are discouraged by high workload.",2
"Good onboarding buddy system.","Buddies are often too busy to help.",3
"Respect for religious holidays.","You have to use PTO for them.",3
"Merit-based promotions.","Merit is defined by how much the boss likes you.",2
"State of the art lab equipment.","Access to the lab is restricted to senior staff.",3
"Encourages internal mobility.","Managers hoard talent and block transfers.",2
"Annual charity run is fun.","Participation feels mandatory.",3
"Free flu shots on site.","They ran out of vaccines in the first hour.",3
"Good separation of work and personal life.","Remote access creates pressure to check in.",3
"Clearly defined job descriptions.","Role expansion happens without pay increase.",2
"Competitive entry-level salary.","Salary compression for long-term employees.",2
"Good focus on data privacy.","Security training is boring and repetitive.",3
"Open to rehiring former employees.","You lose your tenure and benefits status.",3
"Generous bereavement leave.","Have to provide proof which feels invasive.",3
"Positive feedback culture.","Negative feedback is often passive-aggressive.",2
"Good library of technical books.","Books are often outdated.",3
"Social responsibility is a core value.","Feels like greenwashing sometimes.",2
"Nice view from the office.","The sun glare makes it hard to see screens.",3
"Free parking.","Parking lot is unpaved and muddy.",3
"Monthly birthday celebrations.","Cake is always stale.",2
"Good interaction with other teams.","Dependencies on other teams slow us down.",3
"Strong patent reward program.","Company owns all your IP even side projects.",2
"Good travel policy (business class).","Only for Directors and above.",3
"Helpful legal team.","Legal reviews take forever.",3
"Culture of experimentation.","Failed experiments are punished.",2
"Good intern program.","Interns do all the grunt work.",3
"Regular safety drills.","Drills are disruptive to focus time.",3
"Access to gym discounts.","Gyms are not near the office.",3
"Phone bill reimbursement.","Only $20 a month.",3
"Encourages public speaking.","No training provided for it.",3
"Good agile practices.","Agile is used as a micromanagement tool.",2
"Clear code of conduct.","Enforcement is inconsistent.",2
"Respect for privacy.","Monitoring software installed on laptops.",1
"Good nursing rooms for mothers.","Rooms are often booked for meetings.",2
"Subsidized public transport passes.","Passes arrive late every month.",3
"Good backlog management.","Backlog is a black hole where ideas die.",3
"Regular backups of data.","Restoring data is a painful process.",3
"High quality office furniture.","Carpets are dirty and stained.",2
"Good ventilation in the office.","It is always freezing cold.",3
"Access to Pluralsight.","Login issues are common.",3
"Support for open source.","Legal makes it hard to contribute.",3
"Good secure bike storage.","Showers are often cold.",3
"Transparent hiring process.","Process takes 3 months.",2
"Good vendor relationships.","Vendors treat us better than management.",3
"Strong cybersecurity posture.","Password rotation policy is annoying.",3
"Good automated testing.","Tests are flaky and fail often.",3
"Regular performance bonuses.","Tax eats up most of the bonus.",3
"Good exposure to AI tools.","AI tools are blocked by firewall.",2
"Clear escalation paths.","Escalations are ignored.",1
"Good documentation tools (Notion).","Notion is slow and cluttered.",3
"Support for standing desks.","You need a doctor's note to get one.",2
"Good virtual collaboration tools.","Zoom fatigue is real.",3
"Respect for pronouns.","Some systems still don't support it.",3
"Good lighting in the workspace.","Fluorescent lights cause headaches.",2
"Access to conference rooms.","Booking system is broken.",2
"Good mobile app for employees.","App crashes constantly.",2
"Clear invoicing process.","Finance team is hard to reach.",3
"Good brand guidelines.","Guidelines stifle creativity.",3
"Support for higher education.","Only specific degrees are covered.",3
"Good git workflow.","Merge conflicts are frequent.",3
"Regular security audits.","Audits are stressful.",2
"Good focus on accessibility.","Internal tools are not accessible.",2
"Competitive hourly rate.","Hours are cut without notice.",1
"Good shift scheduling.","Split shifts are common.",2
"Paid breaks.","Breaks are timed to the second.",2
"Free uniforms.","Uniforms are uncomfortable.",2
"Good safety gear provided.","Gear is often wrong size.",2
"Clear overtime policy.","Overtime is mandatory.",1
"Good layout of warehouse.","Walking distance is huge.",2
"Music allowed in workspace.","Volume is too loud.",3
"Clean restrooms.","Soap dispensers always empty.",3
"Good parking security.","Gate is slow to open.",3
"Clear attendance policy.","Point system is too strict.",2
"Good inventory system.","Scanners are buggy.",3
"Fair distribution of tasks.","Favorites get easier jobs.",2
"Good temperature control.","Drafty in winter.",3
"Access to water stations.","Water tastes weird.",3
"Regular breaks.","Not enough time to eat.",2
"Good training on equipment.","Training is rushed.",2
"Respectful supervisors.","Supervisors yell when stressed.",1
"Clear safety signage.","Signs are faded.",3
"Good lighting in warehouse.","Some aisles are dark.",2
"Teamwork is encouraged.","One person does all the work.",2